Date,Type,Stock,Quantity,Price,Disburse
2/21/2023,Buy,AI,800,22.345,-17876.24
2/21/2023,Buy,AI,80,22.548,-1803.87
2/21/2023,Buy,AI,800,21.748,-17398.40
3/1/2023,Buy,AI,1000,20.695,-20695.00
3/1/2023,Buy,AI,1000,20.880,-20880.40
3/1/2023,Buy,AI,800,20.750,-16600.00
3/2/2023,Sell,AI,-50,21.375,1068.73
3/2/2023,Sell,AI,-1275,21.265,27112.48
3/2/2023,Sell,AI,-215,21.271,4573.20
3/2/2023,Sell,AI,-510,21.270,10847.54
3/3/2023,Sell,AI,-300,26.200,7859.98
3/3/2023,Sell,AI,-70,26.201,1834.04
3/3/2023,Sell,AI,-600,26.202,15720.68
3/3/2023,Sell,AI,-460,26.210,12056.43
3/3/2023,Sell,AI,-500,26.290,13144.82
3/3/2023,Sell,AI,-500,26.480,13239.82
3/31/2023,Buy,AI,50,31.710,-1585.50
4/5/2023,Buy,AI,300,21.309,-6392.76
4/10/2023,Buy,AI,1000,21.550,-21550.00
4/12/2023,Buy,AI,3000,21.820,-65460.00
4/19/2023,Buy,AI,500,22.080,-11040.00
4/24/2023,Buy,AI,500,18.310,-9155.00
4/25/2023,Buy,AI,2000,17.822,-35644.60
4/26/2023,Buy,AI,150,17.988,-2698.19
4/26/2023,Buy,AI,1000,17.665,-17665.00
4/27/2023,Buy,AI,1000,17.760,-17760.00
5/15/2023,Sell,AI,-500,23.940,11969.83
5/15/2023,Sell,AI,-500,21.981,10990.09
5/17/2023,Sell,AI,-3000,26.290,78868.92
5/18/2023,Sell,AI,-3000,27.930,83788.88
5/25/2023,Buy,AI,1000,27.050,-27050.00
5/25/2023,Buy,AI,1000,27.900,-27900.00
5/25/2023,Sell,AI,-1000,30.320,30319.60
5/25/2023,Buy,AI,100,27.840,-2784.00
5/25/2023,Buy,AI,900,27.850,-25064.91
5/26/2023,Sell,AI,-1000,32.982,32981.74
5/30/2023,Sell,AI,-1000,40.910,40909.52
5/30/2023,Sell,AI,-1000,41.990,41989.51
5/30/2023,Sell,AI,-1000,42.995,42994.50
6/1/2023,Buy,AI,1000,31.385,-31384.80
6/1/2023,Buy,AI,1000,31.635,-31635.00
6/1/2023,Sell,AI,-1000,35.955,35954.56
6/1/2023,Sell,AI,-1000,36.100,36099.56
6/2/2023,Buy,AI,2000,31.050,-62099.20
6/5/2023,Sell,AI,-1500,34.319,51477.56
6/7/2023,Sell,AI,-500,36.560,18279.78
6/8/2023,Sell,AI,-500,37.480,18739.78
6/13/2023,Buy,AI,500,40.880,-20440.00
6/14/2023,Sell,AI,-146,42.295,6175.00
6/14/2023,Sell,AI,-100,42.280,4227.95
6/14/2023,Sell,AI,-54,42.280,2283.10
9/28/2023,Buy,AI,200,24.020,-4804.00
9/28/2023,Buy,AI,400,24.908,-9963.20
11/20/2023,Sell,AI,-300,31.010,9302.88
12/8/2023,Sell,AI,-200,27.508,5501.46
12/8/2023,Sell,AI,-200,27.403,5480.46
12/12/2023,Sell,AI,-100,27.371,2737.07
